name,formatted_address,website,rating,lat,lng
Harley-Davidson® Toluca,"Carretera Toluca - México Km 43.5 Ortíz Rubio, 52740 Ocoyoacac, Méx., Mexico",http://hogtolucachapter.com.mx/,4.5,19.2858195,-99.4551249
Pontiac Gmc Tollocan,"CD de México Toluca KM 46, Ocoyoacac, Col Juárez, 52740 Mexico, Méx., Mexico",http://www.buickgmctollocan.com.mx/,4.2,19.2834948,-99.4722919
German Centre Mexico,"Av Sta Fe 170, Santa Fe, Zedec Sta Fé, Álvaro Obregón, 01376 Ciudad de México, CDMX, Mexico",http://www.germancentre.mx/,4.5,19.3667589,-99.26058140000000
Mazda Ral,"Periferico Sur 6611, San Juan Tepepan, Xochimilco, 16020 Ciudad de México, CDMX, Mexico",https://www.mazda.mx/distribuidores/mazda-ral,4.3,19.281704,-99.13579
Distrubuidora Chevrolet S.A. de C.V.,"D, Anillo Perif. 6611, Santa María Tepepan, Xochimilco, 16020 Ciudad de México, CDMX, Mexico",,4,19.2819155,-99.1371454
BMW Lerma Motors,"Carr Toluca - México Km. 47.5, Amomolulco, 52005 Lerma de Villada, Méx., Mexico",https://www.bmw.com.mx/es/distribuidores/lerma_motors.html,4.5,19.28253,-99.482344
PF TOLLOCAN Buick GMC Cadillac Tollocán,"Carr Toluca - México Km. 46, Col Juárez, 52740 Ocoyoacac, Méx., Mexico",http://www.buickgmctollocan.com.mx/,4.4,19.2834419,-99.4723324
Continental Seminuevos Ocoyoacac,"Carr Toluca - México 520, Lerma de Villada, Méx., Mexico",https://www.seminuevos.com/dealers-profile/continental-automotriz-de-metepec/7320,3.2,19.2829156,-99.4692611
globalcarmx,"Coapanoaya, 52740 Ocoyoacac, Méx., Mexico",,4.6,19.283283,-99.46455500000000
Planet Cars,"Carretera Toluca - México Km 44.5, La Campana, 52743 Ocoyoacac, Méx., Mexico",,1,19.2848829,-99.4578471
Mercedes-Benz Star Haus Seminuevos,"Calle Vicente Fox Quesada, La Estacion, 52000 Lerma de Villada, Méx., Mexico",https://www.mercedes-benz-starhaus.com.mx/,4,19.2825081,-99.51671500000000
Autos Clasicos,"Km 43, Carr Toluca - México, Ortiz Rubio, 52740 Ocoyoacac, Méx., Mexico",,4.9,19.2863083,-99.452697
Astrocamiones,"Carretera México - Toluca Km. 50.5, La estacion, Col. La Estación en Lerma, 52000 Lerma de Villada, Méx., Mexico",http://www.astrocamiones.com.mx/,4.2,19.2828347,-99.51780390000000
Continental Automotriz Lerma,"Mexico - Toluca Km 50.0, Los Llanitos, 52000 Lerma de Villada, Méx., Mexico",http://www.continental-lerma.com.mx/,4.2,19.2814415,-99.51926520000000
Das Welt Auto,"Carr Toluca - México Km 42.5, San Juan Coapanoaya, 52743 Ocoyoacac, Méx., Mexico",,4.3,19.2879842,-99.4451857
Volkswagen Automotriz Lerma,"Carr Toluca - México km 50, La Estacion, 52000 Lerma de Villada, Méx., Mexico",http://www.vw-lerma.com.mx/,3.8,19.2819581,-99.5140662
Subacar Automotriz,"Av. Lic. Benito Juárez 569, Barrio de la Concepción, 52100 San Mateo Atenco, Méx., Mexico",http://www.subacar.com/,4.6,19.2779989,-99.5292408
Star Haus,"Carr Toluca - México Km. 50.6, La Estacion, 52000 Lerma de Villada, Méx., Mexico",http://starhaus.com.mx/,4.2,19.2823538,-99.51664700000000
MINI Lerma,"Carr Toluca - México KM 47.5, Col. Amomolulco, 52005 Lerma de Villada, Méx., Mexico",http://www.lerma.mini.com.mx/,,19.2825096,-99.48234100000000
INFINITI Toluca,"Carretera Libre Federal, Carr Toluca - México KM 46, Los Encinos, 52743 Ocoyoacac, Méx., Mexico",https://www.infiniti.mx/,4.6,19.2833703,-99.4728026
SEMINUEVOS PREMIUM GRUPO TOLLOCAN,"Carr Toluca - México, Ocoyoacac, Méx., Mexico",,,19.28337,-99.47258050000000
Autofinanciamiento de Automóviles Monterrey,"Carr Toluca - México Km 48.50, La Isla, 52000 Lerma de Villada, Méx., Mexico",http://autofinauto.com/,,19.281514,-99.499342
Acasa Seminuevos,"State of Mexico, Mexico",,,19.2846268,-99.4610859
DE BELLO VAN LERMA,"KM 44.5, Carr Toluca - México, LA CAMPANA, 52740 Ocoyoacac, Méx., Mexico",http://www.debellovan.com.mx/,3.8,19.2855257,-99.4574301
chevrolet,"52030, Carr Toluca - México 363, San Pedro Tultepec, 52030 Lerma de Villada, Méx., Mexico",http://www.chevrolet.com.mx/,4.4,19.2803574,-99.51348620000000
SEMINUEVOS CHEVROLET GRUPO TOLLOCAN,"Lerma, San Pedro Tultepec, 52030 San Pedro Tultepec, Méx., Mexico",,,19.2797287,-99.5135693
"TOLLOCAN MOTORS, S.A. DE C.V.","Carr Toluca - México Km 16.5, El Pozito, 52000 Lerma de Villada, Méx., Mexico",http://www.chevrolettollocan.com.mx/,4,19.2804107,-99.5136184
Astro Camiones,"México 15, Adolfo Lopez Mateos, 52030 Lerma de Villada, Méx., Mexico",http://astrocamiones.com.mx/,4.2,19.2815501,-99.5194652
Autos nuevos y seminuevos Volkswagen,"Carr Toluca - México Km 50, Lerma, 52000 Toluca México, Méx., Mexico",,3.7,19.28283,-99.520938
Autos RM,"Av las Torres, Calle Independencia Esquina, Barrio de la Concepción, 52100 San Mateo Atenco, Méx., Mexico",https://autosseminuevosrmg.wixsite.com/misitio,4.7,19.2794695,-99.5316589
Como Nuevos Toluca,"Calle Independencia 736 B, Barrio de la Concepción, 52105 San Mateo Atenco, Méx., Mexico",https://www.facebook.com/Como-Nuevos-Toluca-258554464660531/,4.8,19.2790515,-99.5318487
Volkswagen Salto del Agua S.A. de C.V.,"N° 70, Eje Central Lázaro Cárdenas, Obrera, Cuauhtémoc, 06800 Ciudad de México, CDMX, Mexico",http://www.vw-saltodelagua.com.mx/,4.1,19.4235867,-99.1419832
Volkswagen Cresta Narvarte,"Av. Cuauhtémoc 548, Narvarte Poniente, Benito Juárez, 03020 Ciudad de México, CDMX, Mexico",http://www.vw-crestanarvarte.com.mx/,4.1,19.3986693,-99.15546230000000
BMW Bavaria,"Av. Pdte. Masaryk 60, Chapultepec Morales, Polanco V Secc, Miguel Hidalgo, 11560 Ciudad de México, CDMX, Mexico",https://www.bmw.com.mx/es/distribuidores/grupo_bavaria.html,4.1,19.431184,-99.18364200000000
Audi Center Masaryk,"Av. Pdte. Masaryk 207, Polanco, Polanco V Secc, Miguel Hidalgo, 11550 Ciudad de México, CDMX, Mexico",http://audicentermasaryk-versalles.com/,4.1,19.43171080000000,-99.190156
RENAULT PATRIOTISMO,"Avenida Patriotismo 43, Escandón I Secc, Miguel Hidalgo, 11800 Ciudad de México, CDMX, Mexico",http://www.renaultpatriotismo.com.mx/,4,19.404107,-99.178208
SEAT Polanco,"Av Ejército Nacional No. 678, Polanco, Polanco III Secc, Miguel Hidalgo, 11570 Hidalgo, CDMX, Mexico",http://seat-polanco.com.mx/,4.3,19.4379503,-99.1969792
Honda Dalton Maríano Escobedo,"Calz México-Tacuba 536, Popotla, Miguel Hidalgo, 11400 mig, CDMX, Mexico",http://www.daltonhonda.com.mx/,4.1,19.4558735,-99.17991640000000
Chevrolet Delta,"Av. Cuauhtémoc 421, Roma Sur, Cuauhtémoc, 06760 Ciudad de México, CDMX, Mexico",http://www.chevroletdelta.com.mx/,4.2,19.4045219,-99.15582840000000
Honda Dalton Polanco,"Perif. Blvd. Manuel Ávila Camacho 83, Polanco, Lomas de Chapultepec III Secc, Miguel Hidalgo, 11000 Ciudad de México, CDMX, Mexico",http://daltonhonda.com.mx/,4.2,19.4314357,-99.20725300000000
Best Center,"Av. Thiers 195, Anzures, Miguel Hidalgo, 11590 Ciudad de México, CDMX, Mexico",,3,19.43507020000000,-99.1803364
"Guía Autoprecios, S.A. de C.V.","Puente La Morena No. 63 B, Tacubaya, Miguel Hidalgo, 11870 Ciudad de México, CDMX, Mexico",http://www.autoprecios.com.mx/,,19.397709,-99.18281900000000
Grupo Inmobiliario,"Camargo 36, Hipódromo, Cuauhtémoc, 06100 Ciudad de México, CDMX, Mexico",,,19.4059126,-99.17628910000000
AZTECA PARTS,"Eje 3 Sur Doctor Morones Prieto 64, Buenos Aires, Cuauhtémoc, 06780 Ciudad de México, CDMX, Mexico",,3.5,19.4067865,-99.1473881
Autos Seminuevos,"Avenida Patriotismo 271, San Pedro de los Pinos, Benito Juárez, 03800 Ciudad de México, CDMX, Mexico",http://www.auto-plaza.com.mx/,3.4,19.3945594,-99.1813152
Polanco Service Center SURMAN,"Bahía de la Ascensión, Verónica Anzúres, Miguel Hidalgo, 11300 Ciudad de México, CDMX, Mexico",http://www.surman.com/,4.1,19.43768920000000,-99.17350170000000
Inversión Vacacional S.A. de C.V.,"Av. Thiers 195, Anzures, Miguel Hidalgo, 11590 Ciudad de México, CDMX, Mexico",http://www.alamo.com.mx/,4,19.4352269,-99.18034450000000
ingenieria automotriz,"Manuel María Contreras 10, San Rafael, Cuauhtémoc, 06470 Ciudad de México, CDMX, Mexico",,5,19.4420868,-99.1637952
Surtidora Montecristo,"Pedro Moreno 172, Guerrero, Cuauhtémoc, 06300 Ciudad de México, CDMX, Mexico",http://www.surtidoramontecristoautomotriz.com.mx/,4.6,19.442175,-99.147961
Harada Industries México,"Av. Insurgentes Sur 527, código 2, Hipódromo, Cuauhtémoc, 03510 Benito Juárez, CDMX, Mexico",https://www.harada.com/jp/aboutus/network/area/mexico.html,,19.4019807,-99.1700712
Arrendadora Panamericana S.A. de C.V.,"Lafontaine 323, Polanco, Polanco III Secc, Miguel Hidalgo, 11550 Ciudad de México, CDMX, Mexico",http://www.arrendadora-panamericana.com.mx/,4,19.436781,-99.1979803
Máxima,"Dr. G. Bolaños Cacho 85-B, Buenos Aires, Cuauhtémoc, 06780 Ciudad de México, CDMX, Mexico",,,19.4058179,-99.1484938
Fomento Automotriz y Servicio Al Transporte,"Av. Insurgentes Sur 136, Juárez, Cuauhtémoc, 06400 Ciudad de México, CDMX, Mexico",http://www.motosfast.com/,4,19.444413,-99.154251
Jaro Mecanica Automotriz S.A de C.V,"Santa María La Ribera 128, Cuauhtémoc, 06400 Ciudad de México, CDMX, Mexico",,5,19.4475484,-99.1573445
Hyundai Insurgentes,"Av. Insurgentes Sur 195, Roma Nte., Cuauhtémoc, 06100 Ciudad de México, CDMX, Mexico",http://www.hyundaiherencia.com/hyundai-herencia/,4.1,19.42057820000000,-99.1641674
Drivser,"Av Chapultepec 42, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",http://www.drivser.com,5,19.4262936,-99.1515007
Peugeot Anzures,"Bahía de la Ascensión 31, Verónica Anzúres, Miguel Hidalgo, 11300 Ciudad de México, CDMX, Mexico",http://www.peugeotanzures.com.mx/eurosurman-anzures-distrito-federal/nuestra-ubicacion/,4.3,19.4376899,-99.1732172
